QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns
ADP50,larsE-3,2,0.7499382800537973,0.7413959047089331,0,0,500
dVmax,larsE-3,6,0.00013100454842525662,0.00013803363435615807,0,0,500
ADP50,larsE-4,2,0.6155196233727155,0.6011347461094407,0,0,500
dVmax,larsE-2,6,0.00012806347762639588,0.0001363155721309848,0,0,500
ADP50,larsE-3,2,0.7499382800537973,0.7413959047089331,0,0,500
dVmax,larsE-3,6,0.00013100454842525662,0.00013803363435615807,0,0,500
ADP50,larsE-4,2,0.6155196233727155,0.6011347461094407,0,0,500
dVmax,larsE-4,6,0.00013100454842525662,0.00013803363435615807,0,0,500
ADP50,larsE-5,2,0.6155196233727155,0.6011347461094407,0,0,500
dVmax,larsE-5,6,0.00013100454842525662,0.00013803363435615807,0,0,500
