QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
Vrest,OLS CP,2,1.34E-01,1.19E+00,0,0,10,0.12210230000164302,4.08953880000081,0.06622599999900558,3.5108329000013327,9.903917300000103
Vrest,OLS CP,2,1.34E-01,1.19E+00,0,0,10,0.12210230000164302,4.08953880000081,0.06622599999900558,3.5108329000013327,9.903917300000103
Vrest,LARS,2,1.87E-02,3.59E-02,0,0,10,0.1371517000006861,1.2585192999995343,0.06490109999867855,2.8821129000007204,5.662127700001292
Vrest,LARS,2,1.87E-02,3.59E-02,0,0,10,0.1371517000006861,1.2585192999995343,0.06490109999867855,2.8821129000007204,5.662127700001292
Vrest,OLS SKT,2,1.34E-01,1.19E+00,0,0,10,0.09252190000006522,4.414143400001194,0.06736219999947934,3.7844246000004205,10.593906599999173
Vrest,OLS SKT,2,1.34E-01,1.19E+00,0,0,10,0.09252190000006522,4.414143400001194,0.06736219999947934,3.7844246000004205,10.593906599999173
Vrest,OMP1,2,2.30E-01,5.20E+01,0,0,10,0.06529840000075637,1.130485800000315,0.06683299999895098,2.9454074000004766,5.484496000000945
Vrest,OMP1,2,2.30E-01,5.20E+01,0,0,10,0.06529840000075637,1.130485800000315,0.06683299999895098,2.9454074000004766,5.484496000000945
ADP50,OLS CP,2,7.85E+00,4.85E+00,0,0,10,0.09125740000126825,4.233380899999247,0.06517319999875326,3.4874008999995567,10.041408400000364
ADP50,OLS CP,2,7.85E+00,4.85E+00,0,0,10,0.09125740000126825,4.233380899999247,0.06517319999875326,3.4874008999995567,10.041408400000364
ADP50,LARS,4,2.27E+00,1.94E+00,0,0,10,0.6079943000004278,1.7883645000001707,0.8396596000002319,2.9747219999990193,6.8176008999998885
ADP50,LARS,4,2.27E+00,1.94E+00,0,0,10,0.6079943000004278,1.7883645000001707,0.8396596000002319,2.9747219999990193,6.8176008999998885
ADP50,OLS SKT,2,7.85E+00,4.85E+00,0,0,10,0.11022290000073554,4.380664299998898,0.07243629999902623,3.9614147000011144,10.820287500000632
ADP50,OLS SKT,2,7.85E+00,4.85E+00,0,0,10,0.11022290000073554,4.380664299998898,0.07243629999902623,3.9614147000011144,10.820287500000632
ADP50,OMP1,2,3.10E+02,6.21E+02,0,0,10,0.06778829999893787,1.159579199998916,0.07767690000036964,3.358010199999626,6.037349100000938
ADP50,OMP1,2,3.10E+02,6.21E+02,0,0,10,0.06778829999893787,1.159579199998916,0.07767690000036964,3.358010199999626,6.037349100000938
ADP90,OLS CP,2,7.84E+00,5.03E+00,0,0,10,0.09446509999906993,4.409789299999829,0.06862439999895287,3.569508800001131,10.354588799998965
ADP90,OLS CP,2,7.84E+00,5.03E+00,0,0,10,0.09446509999906993,4.409789299999829,0.06862439999895287,3.569508800001131,10.354588799998965
ADP90,LARS,4,2.23E+00,2.15E+00,0,0,10,0.6210021000006236,1.8387402999996993,0.7058821999999054,3.20643790000031,6.991999799998666
ADP90,LARS,4,2.23E+00,2.15E+00,0,0,10,0.6210021000006236,1.8387402999996993,0.7058821999999054,3.20643790000031,6.991999799998666
ADP90,OLS SKT,2,7.84E+00,5.03E+00,0,0,10,0.09596320000127889,4.455322700001489,0.07074690000081318,3.7498729999988427,10.631825299999036
ADP90,OLS SKT,2,7.84E+00,5.03E+00,0,0,10,0.09596320000127889,4.455322700001489,0.07074690000081318,3.7498729999988427,10.631825299999036
ADP90,OMP1,2,2.84E+02,8.61E+02,0,0,10,0.06335580000086338,1.2515774000003148,0.06546249999883003,3.2081269999998767,5.862836199999947
ADP90,OMP1,2,2.84E+02,8.61E+02,0,0,10,0.06335580000086338,1.2515774000003148,0.06546249999883003,3.2081269999998767,5.862836199999947
dVmax,OLS CP,2,9.57E-04,7.85E-04,0,0,10,0.11524629999985336,4.235897200000181,0.06920799999898009,4.067725599999903,10.730891400000473
dVmax,OLS CP,2,9.57E-04,7.85E-04,0,0,10,0.11524629999985336,4.235897200000181,0.06920799999898009,4.067725599999903,10.730891400000473
dVmax,LARS,5,2.83E-04,1.73E-04,0,0,10,1.3373348000004626,1.3373348000004626,3.159579899998789,3.159579899998789,5.995931800000108
dVmax,LARS,5,2.83E-04,1.73E-04,0,0,10,1.3373348000004626,1.3373348000004626,3.159579899998789,3.159579899998789,5.995931800000108
dVmax,OLS SKT,2,9.57E-04,7.85E-04,0,0,10,0.12168589999964752,4.195525099999941,0.08519269999851531,3.589812599999277,10.278816799998822
dVmax,OLS SKT,2,9.57E-04,7.85E-04,0,0,10,0.12168589999964752,4.195525099999941,0.08519269999851531,3.589812599999277,10.278816799998822
dVmax,OMP1,2,1.94E+02,1.75E+02,0,0,10,0.05835750000005646,1.2449421000001166,0.06608969999979308,3.1705304000006436,5.8723631000011665
dVmax,OMP1,2,1.94E+02,1.75E+02,0,0,10,0.05835750000005646,1.2449421000001166,0.06608969999979308,3.1705304000006436,5.8723631000011665
