QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,4.4533845000005385,223.41446689999793,0.06302209999921615,2.7600794000027236,286.9429676
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,4.4533845000005385,223.41446689999793,0.06302209999921615,2.7600794000027236,286.9429676
ADP50,LARS,2,2.91E-03,3.00E-03,0,0,500,5.184414699997433,292.80039159999797,0.0635270999991917,2.935793200002081,364.1366778999982
ADP50,LARS,2,2.91E-03,3.00E-03,0,0,500,5.184414699997433,292.80039159999797,0.0635270999991917,2.935793200002081,364.1366778999982
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,4.436527199999546,204.2633023999988,0.06258819999857224,2.7021036999976786,266.4289924000004
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,4.436527199999546,204.2633023999988,0.06258819999857224,2.7021036999976786,266.4289924000004
ADP50,OMP1,5,2.24E+00,2.35E+00,0,0,500,149.33753440000146,149.33753440000146,2.445547600000282,2.445547600000282,183.12276360000033
ADP50,OMP1,5,2.24E+00,2.35E+00,0,0,500,149.33753440000146,149.33753440000146,2.445547600000282,2.445547600000282,183.12276360000033
Vrest,OLS CP,3,2.41E-06,2.63E-06,0,0,500,10.905677400001878,227.91294890000063,0.15666430000055698,2.9039049000020896,291.7879302000001
Vrest,OLS CP,3,2.41E-06,2.63E-06,0,0,500,10.905677400001878,227.91294890000063,0.15666430000055698,2.9039049000020896,291.7879302000001
Vrest,LARS,2,1.10E+01,1.15E+01,0,0,500,5.298810199998115,286.48614180000004,0.06753310000203783,3.1816302000006544,362.55319260000033
Vrest,LARS,2,1.10E+01,1.15E+01,0,0,500,5.298810199998115,286.48614180000004,0.06753310000203783,3.1816302000006544,362.55319260000033
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,11.070394900001702,229.4734976999971,0.16157290000046487,2.8280785999995715,293.7656965999995
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,11.070394900001702,229.4734976999971,0.16157290000046487,2.8280785999995715,293.7656965999995
Vrest,OMP1,5,5.34E-02,5.77E-02,0,0,500,176.08633399999962,176.08633399999962,2.446976800001721,2.446976800001721,208.96495629999845
Vrest,OMP1,5,5.34E-02,5.77E-02,0,0,500,176.08633399999962,176.08633399999962,2.446976800001721,2.446976800001721,208.96495629999845
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,4.638480699999491,225.23915959999795,0.065301399998134,2.740346500002488,291.1985772000007
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,4.638480699999491,225.23915959999795,0.065301399998134,2.740346500002488,291.1985772000007
ADP90,LARS,2,7.75E-01,7.90E-01,0,0,500,5.434346000001824,281.9168011999973,0.06660750000082771,2.9611083999989205,356.92087790000005
ADP90,LARS,2,7.75E-01,7.90E-01,0,0,500,5.434346000001824,281.9168011999973,0.06660750000082771,2.9611083999989205,356.92087790000005
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,4.676114300000336,234.897167799998,0.06455129999812925,2.8582128999987617,300.3400070000025
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,4.676114300000336,234.897167799998,0.06455129999812925,2.8582128999987617,300.3400070000025
ADP90,OMP1,5,2.11E+00,2.22E+00,0,0,500,147.37831550000192,147.37831550000192,2.6088975000020582,2.6088975000020582,181.45569009999963
ADP90,OMP1,5,2.11E+00,2.22E+00,0,0,500,147.37831550000192,147.37831550000192,2.6088975000020582,2.6088975000020582,181.45569009999963
dVmax,OLS CP,2,3.29E-04,3.22E-04,0,0,500,4.737866800001939,243.63015729999825,0.06446250000226428,2.7718435999995563,308.9954058000003
dVmax,OLS CP,2,3.29E-04,3.22E-04,0,0,500,4.737866800001939,243.63015729999825,0.06446250000226428,2.7718435999995563,308.9954058000003
dVmax,LARS,2,3.17E+00,3.41E+00,0,0,500,5.315543300002901,281.9888624000014,0.06596069999795873,3.0510613000005833,357.84595860000263
dVmax,LARS,2,3.17E+00,3.41E+00,0,0,500,5.315543300002901,281.9888624000014,0.06596069999795873,3.0510613000005833,357.84595860000263
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,4.776282500002708,235.57276360000105,0.0651901999990514,2.920893900001829,302.93117899999925
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,4.776282500002708,235.57276360000105,0.0651901999990514,2.920893900001829,302.93117899999925
dVmax,OMP1,2,1.10E+00,1.14E+00,0,0,500,3.4850179999993998,164.12265900000057,0.062278100002004066,2.479200599998876,197.23412239999743
dVmax,OMP1,2,1.10E+00,1.14E+00,0,0,500,3.4850179999993998,164.12265900000057,0.062278100002004066,2.479200599998876,197.23412239999743
