QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
dVmax,OLS CP,2,3.29E-04,3.22E-04,0,0,500,5.890371399999999,68.52535169999999,0.1145053000000047,0.9651248999999993
dVmax,LARS,2,3.17E+00,3.41E+00,0,0,500,7.703053100000005,88.66718680000002,0.088718799999981,0.944993299999993
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,5.796876900000029,73.0520391,0.09487969999997858,0.9673131000000126
dVmax,OMP1,2,1.10E+00,1.14E+00,0,0,500,4.103837100000021,36.3267975,0.07713580000000775,0.7430707000000325
dVmax,elastic net 1,4,3.63E-01,3.68E-01,0,0,500,35.72943410000005,35.72943410000005,0.7463584999999853,0.7463584999999853
dVmax,lasso1,4,4.56E-01,4.72E-01,0,0,500,36.6775644999999,36.6775644999999,0.7906523000000334,0.7906523000000334
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,7.062053499999934,83.97290780000003,0.08988050000004932,1.0833847000000105
ADP50,LARS,2,2.91E-03,3.00E-03,0,0,500,7.053944599999909,81.3397592,0.09737129999996341,1.054287400000021
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,5.3732272999999395,71.74858199999994,0.07049170000004779,1.0723163000000113
ADP50,OMP1,4,2.26E+00,2.37E+00,0,0,500,33.9073264000001,33.9073264000001,0.7335107999999764,0.7335107999999764
ADP50,elastic net 1,4,1.32E-02,1.33E-02,0,0,500,44.14492689999997,44.14492689999997,0.7629953999999088,0.7629953999999088
ADP50,lasso1,4,1.59E-02,1.59E-02,0,0,500,42.08854069999984,42.08854069999984,0.7224221999999827,0.7224221999999827
Vrest,OLS CP,3,2.41E-06,2.63E-06,0,0,500,13.835703500000136,88.54662770000004,0.20624670000006518,0.8511829999999918
Vrest,LARS,2,1.10E+01,1.15E+01,0,0,500,6.519273099999964,79.11947799999984,0.07486740000013015,0.8894480999999814
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,17.107476700000007,63.36876169999982,0.1976119999999355,0.8053775000000769
Vrest,OMP1,4,6.29E-02,6.78E-02,0,0,500,26.376429299999927,26.376429299999927,0.6852515000000494,0.6852515000000494
Vrest,elastic net 1,4,2.72E-02,2.88E-02,0,0,500,33.730440700000145,33.730440700000145,0.7157801999999265,0.7157801999999265
Vrest,lasso1,4,3.32E-02,3.52E-02,0,0,500,34.134927800000014,34.134927800000014,0.7188558000000285,0.7188558000000285
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,5.411809399999811,64.16763770000011,0.07088040000007823,0.82110479999983
ADP90,LARS,2,7.75E-01,7.90E-01,0,0,500,6.6850555999999415,69.67370089999986,0.07929289999992761,0.8403436999999485
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,5.013388600000326,65.67296589999978,0.0724076999999852,0.8160579999998845
ADP90,OMP1,4,2.13E+00,2.24E+00,0,0,500,30.009172200000194,30.009172200000194,0.6998960999999326,0.6998960999999326
ADP90,elastic net 1,4,9.90E-03,9.65E-03,0,0,500,36.75330410000015,36.75330410000015,0.7311531000000286,0.7311531000000286
ADP90,lasso1,4,1.22E-02,1.19E-02,0,0,500,35.69557589999977,35.69557589999977,0.7203208000000814,0.7203208000000814
