QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
dVmax,OLS CP,4,2.62E-04,2.69E-04,0,0,1000,281.1791574,281.1791574,1.1143076000000036,1.1143076000000036
dVmax,LARS,2,1.38E+00,1.48E+00,0,0,1000,10.974117000000035,282.0064712,0.08929009999997106,1.0092640000000301
dVmax,OLS SKT,4,2.62E-04,2.69E-04,0,0,1000,271.89315669999996,271.89315669999996,0.9932712000000947,0.9932712000000947
dVmax,ridge1,4,4.11E-04,3.73E-04,0,0,1000,253.67867320000005,253.67867320000005,0.961022899999989,0.961022899999989
dVmax,elastic net 1,4,3.70E-01,3.76E-01,0,0,1000,227.2094414999999,227.2094414999999,0.8589694000002055,0.8589694000002055
dVmax,lasso1,2,1.01E+00,1.01E+00,0,0,1000,6.00454650000006,229.54770659999986,0.06240790000015295,0.8546718999998575
ADP50,OLS CP,2,2.11E-02,2.22E-03,0,0,1000,9.092515800000001,251.9348457000001,0.06362220000005436,0.9389060999999401
ADP50,LARS,2,4.61E-02,2.23E-02,0,0,1000,10.49186490000011,263.70367499999975,0.06655799999998635,1.0017226999998456
ADP50,OLS SKT,2,2.11E-02,2.22E-03,0,0,1000,9.180650100000094,252.03708050000023,0.06482400000004418,0.9504731000001811
ADP50,ridge1,3,2.12E-02,2.26E-03,0,0,1000,25.9654716,249.69905590000008,0.1840738999999303,0.9468344000001707
ADP50,elastic net 1,4,3.34E-02,1.21E-02,0,0,1000,224.23108600000023,224.23108600000023,0.8513865999998416,0.8513865999998416
ADP50,lasso1,4,3.50E-02,1.44E-02,0,0,1000,222.79282000000012,222.79282000000012,0.8483894000000873,0.8483894000000873
Vrest,OLS CP,3,1.00E-03,2.25E-06,0,0,1000,26.220211400000153,248.5202089999998,0.18123080000032132,0.9371903000001112
Vrest,LARS,2,9.68E+00,1.01E+01,0,0,1000,10.44615690000046,259.9517901999998,0.0665285999994012,0.9977632000000085
Vrest,OLS SKT,3,1.00E-03,2.25E-06,0,0,1000,26.513485600000422,252.6673114999994,0.18507729999964795,0.9400282999995397
Vrest,ridge1,4,9.97E-04,4.61E-06,0,0,1000,250.23850739999943,250.23850739999943,0.940078500000709,0.940078500000709
Vrest,elastic net 1,4,4.34E-02,4.28E-02,0,0,1000,217.4676360000003,217.4676360000003,0.8527383999999074,0.8527383999999074
Vrest,lasso1,4,5.02E-02,5.89E-02,0,0,1000,218.21909779999987,218.21909779999987,0.851527900000292,0.851527900000292
ADP90,OLS CP,2,3.64E-02,2.40E-03,0,0,1000,9.01016879999952,248.8130799999999,0.06409239999993588,0.9381561000000147
ADP90,LARS,2,1.50E+00,1.07E+00,0,0,1000,10.582577700000002,264.1181544000001,0.06691080000018701,0.9653001999995467
ADP90,OLS SKT,2,3.64E-02,2.40E-03,0,0,1000,9.19275589999961,252.03028580000046,0.0643156000005547,0.9386288000005152
ADP90,ridge1,3,3.66E-02,2.46E-03,0,0,1000,26.163566499999433,248.4397140000001,0.18067190000056144,0.9423096000000442
ADP90,elastic net 1,4,4.50E-02,9.20E-03,0,0,1000,308.29014259999985,308.29014259999985,0.851882700000715,0.851882700000715
ADP90,lasso1,4,4.56E-02,1.11E-02,0,0,1000,365.1124713999998,365.1124713999998,1.001228799999808,1.001228799999808
