QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
dVmax,OLS CP,2,3.29E-04,3.22E-04,0,0,500,5.666973899999903,57.4937445999999,0.0726875000000291,1.4565611000002718
dVmax,LARS,2,3.17E+00,3.41E+00,0,0,500,5.686737700000322,63.43779399999994,0.07323140000016792,0.8083604000003106
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,4.680068399999982,54.53206060000002,0.07643430000007356,0.7859332000002723
dVmax,ridge1,4,5.34E-04,5.12E-04,0,0,500,58.85233879999987,58.85233879999987,0.8340391000001546,0.8340391000001546
dVmax,elastic net 1,4,3.63E-01,3.68E-01,0,0,500,31.258458899999823,31.258458899999823,0.9439623000002939,0.9439623000002939
dVmax,lasso1,4,4.56E-01,4.72E-01,0,0,500,30.097638000000188,30.097638000000188,0.7054078999999547,0.7054078999999547
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,4.789584599999671,59.8221180999999,0.066397600000073,0.8316608999998607
ADP90,LARS,2,7.75E-01,7.90E-01,0,0,500,5.690293600000132,64.01899349999985,0.07104359999993903,0.8240663999999924
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,4.644232800000282,55.91786709999997,0.06842790000018795,0.8396198000000368
ADP90,ridge1,3,2.36E-03,2.22E-03,0,0,500,13.338603500000318,59.023547300000246,0.19948459999977786,0.8134811999998419
ADP90,elastic net 1,4,9.90E-03,9.65E-03,0,0,500,31.812039699999787,31.812039699999787,0.7286665999999968,0.7286665999999968
ADP90,lasso1,4,1.22E-02,1.19E-02,0,0,500,34.372026500000175,34.372026500000175,0.8403343999998469,0.8403343999998469
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,5.483061899999939,60.302395799999886,0.07010949999994409,0.899174199999834
ADP50,LARS,2,2.91E-03,3.00E-03,0,0,500,5.759507100000064,71.66737130000001,0.07220809999989797,0.8728857999999491
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,4.85219989999996,57.115973999999824,0.07025240000029953,0.7953440999999657
ADP50,ridge1,3,2.51E-03,2.49E-03,0,0,500,12.694350899999336,56.15788429999975,0.19008969999958936,0.7970230000000811
ADP50,elastic net 1,4,1.32E-02,1.33E-02,0,0,500,28.854531699999825,28.854531699999825,0.6920267999994394,0.6920267999994394
ADP50,lasso1,4,1.59E-02,1.59E-02,0,0,500,29.088864099999228,29.088864099999228,0.6908164000005854,0.6908164000005854
Vrest,OLS CP,3,2.41E-06,2.63E-06,0,0,500,12.82335570000032,56.84463689999939,0.19553890000042884,0.7907218000000285
Vrest,LARS,2,1.10E+01,1.15E+01,0,0,500,5.471180100000311,62.33542430000034,0.07315790000029665,0.8084167000006346
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,12.460996299999351,62.829020900000614,0.19056000000000495,0.784009299999525
Vrest,ridge1,4,8.93E-06,9.22E-06,0,0,500,54.85303509999994,54.85303509999994,0.7792141999998421,0.7792141999998421
Vrest,elastic net 1,4,2.72E-02,2.88E-02,0,0,500,28.274996199999805,28.274996199999805,0.6900358000002598,0.6900358000002598
Vrest,lasso1,4,3.32E-02,3.52E-02,0,0,500,28.41028129999995,28.41028129999995,0.6948051999997915,0.6948051999997915
