QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
dVmax,OLS CP,2,5.52E-04,3.22E-04,0,0,500,4.804930899999999,37.7827102,0.0808908000000006,1.022873200000003
dVmax,LARS,2,3.26E+00,3.40E+00,0,0,500,3.9444369999999935,43.739830900000015,0.07684730000001139,0.9105542000000071
dVmax,OLS SKT,2,5.52E-04,3.22E-04,0,0,500,2.3568677000000093,29.871807500000017,0.06609779999999432,0.766813500000012
dVmax,ridge1,4,7.52E-04,5.11E-04,0,0,500,31.608607199999994,31.608607199999994,0.7678793999999982,0.7678793999999982
dVmax,elastic net 1,4,3.56E-01,3.67E-01,0,0,500,19.992064800000037,19.992064800000037,0.733678599999962,0.733678599999962
dVmax,lasso1,4,4.47E-01,4.68E-01,0,0,500,17.851292,17.851292,0.6809297000000356,0.6809297000000356
Vrest,OLS CP,3,5.98E-04,2.63E-06,0,0,500,6.5055916000000025,31.410171000000048,0.1860061000000428,0.7710700000000088
Vrest,LARS,2,1.14E+01,1.13E+01,0,0,500,2.750605500000006,34.95082759999997,0.06955249999998614,0.8204574000000093
Vrest,OLS SKT,3,5.98E-04,2.63E-06,0,0,500,6.522298200000023,29.66704119999997,0.19976969999999028,0.7691192000000342
Vrest,ridge1,4,6.04E-04,9.37E-06,0,0,500,30.57107480000002,30.57107480000002,0.8461392000000387,0.8461392000000387
Vrest,elastic net 1,4,2.71E-02,2.96E-02,0,0,500,17.238338200000044,17.238338200000044,0.6866400000000112,0.6866400000000112
Vrest,lasso1,4,3.25E-02,3.59E-02,0,0,500,17.14405910000005,17.14405910000005,0.6628107999999884,0.6628107999999884
ADP50,OLS CP,2,1.08E-02,2.40E-03,0,0,500,2.4867604999999458,31.521073900000033,0.069494000000077,0.7978120999999874
ADP50,LARS,2,1.14E-02,3.00E-03,0,0,500,2.8708768999999847,37.514388000000054,0.06748100000004342,0.8882991000000402
ADP50,OLS SKT,2,1.08E-02,2.40E-03,0,0,500,2.39816780000001,30.798253300000056,0.06949269999995522,0.769401900000048
ADP50,ridge1,3,1.09E-02,2.49E-03,0,0,500,6.459673099999918,32.38576610000007,0.18605969999998706,0.7692116000000624
ADP50,elastic net 1,4,2.14E-02,1.32E-02,0,0,500,22.423427100000026,22.423427100000026,0.7114463999999998,0.7114463999999998
ADP50,lasso1,4,2.36E-02,1.57E-02,0,0,500,17.997272400000043,17.997272400000043,0.6769502999999304,0.6769502999999304
ADP90,OLS CP,2,3.28E-02,2.16E-03,0,0,500,2.7584858999999824,29.919482600000038,0.06396870000003219,0.7783300000000963
ADP90,LARS,2,8.96E-01,7.90E-01,0,0,500,2.7168889999999237,33.53572140000006,0.07030389999999898,0.7904524000000492
ADP90,OLS SKT,2,3.28E-02,2.16E-03,0,0,500,2.3660551000000396,31.33173970000007,0.06701520000001437,0.7663485000000492
ADP90,ridge1,3,3.29E-02,2.22E-03,0,0,500,6.370791300000064,30.110156899999993,0.18508650000012494,0.7667435000000751
ADP90,elastic net 1,4,3.99E-02,9.54E-03,0,0,500,16.153491499999973,16.153491499999973,0.6623200999999881,0.6623200999999881
ADP90,lasso1,4,4.14E-02,1.17E-02,0,0,500,18.38590850000014,18.38590850000014,0.6828938000001017,0.6828938000001017
