QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
Vrest,OLS CP,3,4.26E-06,4.91E-06,0,0,500,13.29787309999847,57.15608699999939,0.19724949999908858,0.8213394999984303
Vrest,LARS,2,1.31E-02,1.38E-02,0,0,500,3.12013719999959,22.421507700000802,0.06650160000026517,0.6863247000001138
Vrest,OLS SKT,3,4.26E-06,4.93E-06,0,0,500,13.158326400000078,58.64125419999982,0.19865559999925608,0.8349238999999216
Vrest,OMP1,2,9.84E-03,9.99E-03,0,0,500,3.0090914000011253,22.21477959999902,0.06725379999988945,0.6850905999999668
Vrest,elastic net 1,2,1.70E+07,1.73E+07,0,0,500,2.954636999998911,22.837944300001254,0.06657519999862416,0.6998650999994425
Vrest,lasso1,2,1.70E+07,1.73E+07,0,0,500,2.969503899999836,21.894591700000092,0.06634679999842774,0.6976906999989296
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,4.805684999999357,59.53465040000083,0.07066409999970347,0.8207827999995061
ADP90,LARS,3,9.19E-01,9.38E-01,0,0,500,7.609878499999468,24.37403860000086,0.1791058000017074,0.7171263000000181
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,4.883914100000766,59.787849399999686,0.07104530000106024,0.8298846000016056
ADP90,OMP1,2,1.46E+00,1.48E+00,0,0,500,3.223669599999994,22.452626500000406,0.06656350000048405,0.6978940000008151
ADP90,elastic net 1,2,1.89E+03,1.85E+03,0,0,500,2.8865427000000636,21.213459200000216,0.06424409999999625,0.6953009000008024
ADP90,lasso1,2,1.89E+03,1.85E+03,0,0,500,2.8971615999998903,21.05101090000062,0.0629774000008183,0.714220200001364
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,4.718996600000537,58.3643323999986,0.06660150000061549,0.8039197000016429
ADP50,LARS,3,9.53E-01,9.64E-01,0,0,500,7.223415099999329,21.468434800000978,0.20353649999924528,0.6389968000003137
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,4.4334579999995185,54.140931900001306,0.0659393000005366,0.761123399999633
ADP50,OMP1,2,1.54E+00,1.62E+00,0,0,500,2.916180100000929,19.843781300000046,0.06373689999963972,0.6364238000005571
ADP50,elastic net 1,2,1.73E+03,1.69E+03,0,0,500,2.659796500000084,19.3053390999994,0.06074099999932514,0.6328259000001708
ADP50,lasso1,2,1.73E+03,1.69E+03,0,0,500,2.6654414999993605,19.271242599999823,0.06036090000088734,0.6372716999994736
dVmax,OLS CP,4,3.97E-04,3.21E-04,0,0,500,53.43976950000069,53.43976950000069,0.7545826000005036,0.7545826000005036
dVmax,LARS,3,4.52E+02,4.52E+02,0,0,500,6.384783100000277,21.656484299999647,0.17839959999946586,0.660986300001241
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,4.680430799999158,57.78861369999868,0.06840069999998377,0.7957222999993974
dVmax,OMP1,2,1.64E+02,1.64E+02,0,0,500,2.889205299999958,21.499471000000995,0.06684820000009495,0.659603000000061
dVmax,elastic net 1,2,7.24E+02,7.24E+02,0,0,500,2.7963264000009076,20.832688500000586,0.06507310000051802,0.6636584000007133
dVmax,lasso1,2,7.24E+02,7.24E+02,0,0,500,2.8363988000000973,21.316609900000913,0.06651070000043546,0.655009300000529
