QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
ADP90,OLS CP,2,3.28E-02,2.16E-03,0,0,500,5.049187399999937,61.25728219999928,0.06629849999990256,0.8810767000004489
ADP90,LARS,2,9.27E-01,9.34E-01,0,0,500,6.140867799999796,28.811479799999688,0.06826589999946009,0.7266099000007671
ADP90,OLS SKT,2,3.28E-02,2.16E-03,0,0,500,4.8364134000003105,58.89901540000028,0.06877590000021883,0.8171808000006422
ADP90,OMP1,2,1.31E+00,1.48E+00,0,0,500,3.3635463000000527,22.52339480000046,0.07046589999936259,0.6911055000000488
ADP90,elastic net 1,2,7.77E+00,7.62E+00,0,0,500,3.2210580999999365,23.300328999999692,0.06866799999988871,0.7634787000006327
ADP90,lasso1,2,7.95E+00,7.78E+00,0,0,500,2.921743500000048,21.539990899999793,0.06614570000056119,0.6888880999995308
dVmax,OLS CP,4,6.76E-04,3.21E-04,0,0,500,57.18469559999994,57.18469559999994,0.8071153000000777,0.8071153000000777
dVmax,LARS,4,4.31E-04,1.94E-04,0,0,500,25.985885000000053,25.985885000000053,0.8266347999997379,0.8266347999997379
dVmax,OLS SKT,2,5.52E-04,3.22E-04,0,0,500,4.7625597000005655,58.3283578999999,0.0737781999996514,0.8012823000008211
dVmax,OMP1,2,1.69E+02,1.64E+02,0,0,500,3.2334888000004867,24.83459319999929,0.07421959999919636,0.6955884999988484
dVmax,elastic net 1,2,4.11E+00,4.03E+00,0,0,500,2.9615792999993573,23.822120099999665,0.06565360000058718,0.6800547000002553
dVmax,lasso1,2,4.20E+00,4.11E+00,0,0,500,2.9777957999995124,22.840538300000844,0.06735879999905592,0.6917684000000008
ADP50,OLS CP,2,1.09E-02,2.40E-03,0,0,500,4.800498900000093,59.21219259999998,0.06845229999998992,0.8171080000010988
ADP50,LARS,2,9.44E-01,9.57E-01,0,0,500,5.073122100000546,30.69639780000034,0.07066699999995762,0.7139138000002276
ADP50,OLS SKT,2,1.09E-02,2.40E-03,0,0,500,4.8296943999994255,59.60767139999916,0.06849580000016431,0.8174978999995801
ADP50,OMP1,2,1.45E+00,1.62E+00,0,0,500,3.2579447999996773,23.38457019999987,0.06776770000033139,0.7159176000004663
ADP50,elastic net 1,2,7.16E+00,7.03E+00,0,0,500,2.9686533999993117,24.368595200001437,0.06593489999977464,0.680868699999337
ADP50,lasso1,2,7.18E+00,7.04E+00,0,0,500,2.7435392000006686,21.002975499999593,0.062382699999943725,0.6435267999986536
Vrest,OLS CP,3,5.98E-04,2.61E-06,0,0,500,12.263323500001206,57.31653989999904,0.18610410000110278,0.7690669999992679
Vrest,LARS,2,1.02E-02,1.01E-02,0,0,500,4.814631400000508,26.612304300000687,0.07042550000005576,0.693288799999209
Vrest,OLS SKT,3,5.98E-04,2.63E-06,0,0,500,13.067978799999764,57.86160259999997,0.19335230000069714,0.809659599999577
Vrest,OMP1,2,1.02E-02,1.00E-02,0,0,500,2.9739435000010417,21.750363899998774,0.06630640000003041,0.68436230000043
Vrest,elastic net 1,2,4.05E+00,3.92E+00,0,0,500,2.9321825000006356,21.7697021999993,0.06406109999988985,0.6764527999985148
Vrest,lasso1,2,4.05E+00,3.92E+00,0,0,500,2.921120400000291,21.32529500000055,0.0665052000003925,0.6747544999998354
