QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
dVmax,OLS CP,2,3.29E-04,3.22E-04,0,0,500,3.117804200000137,30.435430199999246,0.0836847000000489,0.7801073999999062
dVmax,LARS,2,8.11E-03,9.76E-03,0,0,500,2.774145999999746,54.7494770000003,0.06904130000020814,0.7969395999998596
2
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,2.329729699999916,28.474670700000388,0.06722300000001269,0.7666544000003341
dVmax,ridge1,4,1.18E-03,1.18E-03,0,0,500,39.01372150000043,39.01372150000043,0.7982726000000184,0.7982726000000184
dVmax,elastic net 1,4,1.47E+00,1.49E+00,0,0,500,21.517281899999944,21.517281899999944,0.6909667999998419,0.6909667999998419
dVmax,lasso1,4,1.04E+00,1.20E+00,0,0,500,38.67860910000036,38.67860910000036,0.7075260999999955,0.7075260999999955
Vrest,OLS CP,3,2.41E-06,2.63E-06,0,0,500,7.224796099999367,40.2495274999992,0.1911261999994167,0.7979861999992863
Vrest,LARS,2,5.58E+00,6.26E+00,0,0,500,3.593699899999592,49.668216799999755,0.07189809999999852,1.160179700000299
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,6.591060300000208,31.600830500000484,0.20286329999998998,0.8106753000001845
Vrest,ridge1,4,6.50E+00,6.92E+00,0,0,500,64.32065409999996,64.32065409999996,1.090472600000794,1.090472600000794
Vrest,elastic net 1,4,3.57E+03,3.72E+03,0,0,500,26.9106754000004,26.9106754000004,0.7483072999993965,0.7483072999993965
Vrest,lasso1,4,2.77E+03,2.85E+03,0,0,500,28.850116999999955,28.850116999999955,0.8393124999993233,0.8393124999993233
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,2.3689840999995795,31.215361399999892,0.07170110000060959,0.7833050999997795
ADP50,LARS,2,1.73E+00,1.72E+00,0,0,500,3.1397838000002594,34.762000499999886,0.07240479999927629,0.7929850999998962
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,2.488748800000394,32.15440889999991,0.06793720000041503,0.7860463999995773
ADP50,ridge1,4,3.20E-03,3.25E-03,0,0,500,30.34018019999985,30.34018019999985,0.7757647000007637,0.7757647000007637
ADP50,elastic net 1,4,2.88E-01,2.85E-01,0,0,500,20.64641389999997,20.64641389999997,0.9770452000002479,0.9770452000002479
ADP50,lasso1,4,8.84E-02,8.93E-02,0,0,500,19.966461299999537,19.966461299999537,0.684272499999679,0.684272499999679
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,2.4573391999992964,32.91959379999935,0.06796750000012253,0.8023643999995329
ADP90,LARS,2,1.04E+00,1.04E+00,0,0,500,2.7193952999996327,35.071387300000424,0.07230479999998352,0.7950963000002957
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,2.392306699999608,31.113902600000074,0.08117880000008881,0.7874193999996351
ADP90,ridge1,4,3.11E-03,3.03E-03,0,0,500,29.896973400000206,29.896973400000206,0.7703870000004827,0.7703870000004827
ADP90,elastic net 1,4,3.04E-01,2.97E-01,0,0,500,20.73674889999984,20.73674889999984,0.6981634000003396,0.6981634000003396
ADP90,lasso1,4,8.93E-02,8.85E-02,0,0,500,20.545493200000237,20.545493200000237,0.6972307000005458,0.6972307000005458
