QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
Vrest,OLS CP,3,2.41E-06,2.63E-06,0,0,500,12.396062700000584,53.8613991000002,0.19030740000016522,0.8044139999992694
Vrest,LARS,2,5.58E+00,6.26E+00,0,0,500,5.780385000000024,61.140117399999326,0.08019140000033076,0.7997287999996843
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,12.43089019999934,55.16985670000031,0.19330559999980323,0.7826772000007622
Vrest,OMP1,2,2.49E+04,2.60E+04,0,0,500,3.283877200000461,21.141046599999754,0.07457560000057128,0.6515582000001814
Vrest,elastic net 1,4,3.57E+03,3.72E+03,0,0,500,32.31362269999954,32.31362269999954,0.6927540999995472,0.6927540999995472
Vrest,lasso1,4,2.77E+03,2.85E+03,0,0,500,30.52259260000028,30.52259260000028,0.6884210999996867,0.6884210999996867
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,4.45763050000005,54.490272000000004,0.06782059999932244,0.7672331999992821
ADP90,LARS,2,1.04E+00,1.04E+00,0,0,500,5.179160400000001,60.4912432000001,0.07150579999961337,0.8091659000001528
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,4.494703200000004,54.44348369999989,0.06728149999980815,0.7661526000001686
ADP90,OMP1,2,3.80E+00,3.91E+00,0,0,500,3.2509329999993497,20.716256599999724,0.06432839999979478,0.6413093999999546
ADP90,elastic net 1,4,3.04E-01,2.97E-01,0,0,500,33.13827619999938,33.13827619999938,0.6884096999992835,0.6884096999992835
ADP90,lasso1,4,8.93E-02,8.85E-02,0,0,500,31.478153300000486,31.478153300000486,0.7243601000000126,0.7243601000000126
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,4.45280509999975,54.59014719999959,0.06698030000006838,0.7608727999995608
ADP50,LARS,2,1.73E+00,1.72E+00,0,0,500,5.211904100000538,61.07872650000081,0.07044059999952879,0.8110278000003746
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,4.567637600001035,55.75367159999951,0.06778610000037588,0.772031299999071
ADP50,OMP1,2,3.72E+00,3.81E+00,0,0,500,3.229325599999356,20.93992040000012,0.065124000000651,0.6418061000003945
ADP50,elastic net 1,4,2.88E-01,2.85E-01,0,0,500,33.34585589999915,33.34585589999915,0.700372299999799,0.700372299999799
ADP50,lasso1,4,8.84E-02,8.93E-02,0,0,500,31.369366299999456,31.369366299999456,0.6802747000001546,0.6802747000001546
dVmax,OLS CP,2,3.29E-04,3.22E-04,0,0,500,4.429950399999143,54.70305670000016,0.06691610000052606,0.7743217999995977
dVmax,LARS,2,8.11E-03,9.76E-03,0,0,500,5.22110210000028,60.95909750000101,0.07166340000003402,0.7922808000002988
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,4.5222638999985065,54.727904900000794,0.0672435000014957,0.7679567999985011
dVmax,OMP1,2,2.18E+00,2.24E+00,0,0,500,3.2265934999995807,20.81114820000039,0.06425370000033581,0.6446611999999732
dVmax,elastic net 1,4,1.47E+00,1.49E+00,0,0,500,27.80142210000122,27.80142210000122,0.6699396000003617,0.6699396000003617
dVmax,lasso1,4,1.04E+00,1.20E+00,0,0,500,27.31871349999892,27.31871349999892,0.6697550999997475,0.6697550999997475
