QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
dVmax,OLS CP,4,3.29E-04,3.22E-04,0,0,500,57.97196869999971,57.97196869999971,0.9427028000000064,0.9427028000000064
dVmax,LARS,4,4.08E-02,4.37E-02,0,0,500,25.311928799999805,25.311928799999805,0.6818005000004632,0.6818005000004632
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,4.6322792000000845,55.85327589999997,0.06755899999916437,0.7900843999996141
dVmax,ridge1,4,1.23E-02,1.30E-02,0,0,500,55.44024850000005,55.44024850000005,0.7956947000002401,0.7956947000002401
dVmax,elastic net 1,4,1.00E+00,1.01E+00,0,0,500,23.558175799999844,23.558175799999844,0.6801550999998653,0.6801550999998653
dVmax,lasso1,4,1.00E+00,1.01E+00,0,0,500,21.991146899999876,21.991146899999876,0.6683579000000464,0.6683579000000464
ADP90,OLS CP,4,2.27E-03,2.16E-03,0,0,500,55.94858379999914,55.94858379999914,0.7864382999996451,0.7864382999996451
ADP90,LARS,3,1.57E-01,1.57E-01,0,0,500,8.32056830000056,32.53500079999958,0.17354269999941607,0.6969865999999456
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,4.622701799999959,57.02050099999997,0.06824930000038876,0.793726500000048
ADP90,ridge1,4,3.10E-03,2.83E-03,0,0,500,57.02291770000011,57.02291770000011,0.7896394999997938,0.7896394999997938
ADP90,elastic net 1,4,1.00E+00,1.00E+00,0,0,500,23.668225800000073,23.668225800000073,0.6713466999999582,0.6713466999999582
ADP90,lasso1,4,1.01E+00,1.01E+00,0,0,500,23.420371300000625,23.420371300000625,0.7161614999995436,0.7161614999995436
ADP50,OLS CP,4,2.50E-03,2.40E-03,0,0,500,56.57935610000004,56.57935610000004,0.7899655000001076,0.7899655000001076
ADP50,LARS,3,8.36E-02,8.13E-02,0,0,500,7.989813899999717,29.576196800000616,0.1740325999999186,0.6921814999996059
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,4.699733999999808,55.946165599999404,0.0680528000002596,0.7878927000001568
ADP50,ridge1,4,3.16E-03,2.85E-03,0,0,500,55.27025000000049,55.27025000000049,0.7927907000002961,0.7927907000002961
ADP50,elastic net 1,4,1.00E+00,1.01E+00,0,0,500,23.473638099999334,23.473638099999334,0.6720835000005536,0.6720835000005536
ADP50,lasso1,4,1.01E+00,1.01E+00,0,0,500,22.71400369999992,22.71400369999992,0.6625199000000066,0.6625199000000066
Vrest,OLS CP,4,1.29E-05,1.39E-05,0,0,500,55.70057900000029,55.70057900000029,0.7891602999998213,0.7891602999998213
Vrest,LARS,4,3.69E-02,3.70E-02,0,0,500,22.19309229999999,22.19309229999999,0.6629745999998704,0.6629745999998704
Vrest,OLS SKT,2,1.29E-05,1.39E-05,0,0,500,4.613556799999969,56.29687230000036,0.06940550000035728,0.7874493999997867
Vrest,ridge1,4,1.47E-02,1.50E-02,0,0,500,53.6454547000003,53.6454547000003,0.7646880000002056,0.7646880000002056
Vrest,elastic net 1,4,2.30E+01,2.33E+01,0,0,500,22.415267600000334,22.415267600000334,0.647689999999784,0.647689999999784
Vrest,lasso1,4,8.41E+01,8.53E+01,0,0,500,24.519582300000366,24.519582300000366,0.6415685000001758,0.6415685000001758
