QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
Vrest,OLS CP,4,1.12E-05,1.17E-05,0,0,500,65.7847271999999,65.7847271999999,0.8061721999984002,0.8061721999984002,86.14525710000089
Vrest,LARS,4,7.87E-03,8.23E-03,0,0,500,52.57748939999874,52.57748939999874,0.715005399997608,0.715005399997608,68.72084399999949
Vrest,OLS SKT,2,1.12E-05,1.17E-05,0,0,500,7.979543299999932,60.319118100000196,0.07511650000014924,0.8851991999981692,82.96335620000173
Vrest,OMP1,2,4.24E-01,4.49E-01,0,0,500,3.3804467000009026,30.45351590000064,0.06559379999816883,0.6603935999992245,45.30536729999949
Vrest,elastic net 1,3,1.93E+00,1.98E+00,0,0,500,9.774059399998805,32.71903309999834,0.17865789999996196,0.6822136000009777,49.24278300000151
Vrest,lasso1,2,1.68E+00,1.72E+00,0,0,500,5.252373299997998,48.40660229999776,0.0889296999994258,0.9196910999999091,66.39815969999836
ADP90,OLS CP,4,2.27E-03,2.16E-03,0,0,500,88.23666270000103,88.23666270000103,1.111146799998096,1.111146799998096,115.38864319999993
ADP90,LARS,3,1.64E-01,1.64E-01,0,0,500,20.982751100000314,91.44437680000192,0.23422349999964354,1.103496299998369,121.37784770000144
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,6.453352199998335,85.49131280000074,0.08471080000163056,1.013643599999341,110.46436250000261
ADP90,OMP1,4,2.23E+00,2.34E+00,0,0,500,43.64734790000148,43.64734790000148,1.1298156999982893,1.1298156999982893,59.103124500001286
ADP90,elastic net 1,4,3.36E-01,3.45E-01,0,0,500,53.5995339000001,53.5995339000001,1.0736628999984532,1.0736628999984532,72.95090880000134
ADP90,lasso1,3,9.98E-01,1.00E+00,0,0,500,13.71253340000112,55.44338770000104,0.28093320000334643,0.9631864000002679,76.30690240000331
ADP50,OLS CP,4,2.50E-03,2.40E-03,0,0,500,96.2129746999999,96.2129746999999,1.0115330000007816,1.0115330000007816,122.91506669999944
ADP50,LARS,3,8.74E-02,8.51E-02,0,0,500,21.98918970000159,97.28890330000286,0.2434192999971856,1.0857648000019253,129.54911540000103
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,5.671288400000776,68.88293239999985,0.10063680000166642,0.810704600000463,100.05591840000125
ADP50,OMP1,4,2.36E+00,2.47E+00,0,0,500,35.36685099999886,35.36685099999886,0.8148064999986673,0.8148064999986673,50.59820479999689
ADP50,elastic net 1,4,2.92E-01,2.96E-01,0,0,500,43.81488480000189,43.81488480000189,0.7005348000020604,0.7005348000020604,61.26739850000013
ADP50,lasso1,2,9.99E-01,1.00E+00,0,0,500,5.163724900001398,48.97695400000157,0.0809028000003309,0.8983145000020158,67.287800099999
dVmax,OLS CP,4,3.29E-04,3.22E-04,0,0,500,85.1267614999997,85.1267614999997,0.9466495999986364,0.9466495999986364,109.8494006999972
dVmax,LARS,4,4.20E-02,4.48E-02,0,0,500,61.13147360000221,61.13147360000221,0.9073375000007218,0.9073375000007218,88.45949499999915
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,6.79536139999982,80.67115829999966,0.08246689999941736,0.9721358000024338,105.84342819999802
dVmax,OMP1,4,1.10E+00,1.14E+00,0,0,500,42.13594220000232,42.13594220000232,1.1259318000011262,1.1259318000011262,56.82353389999844
dVmax,elastic net 1,3,1.00E+00,1.00E+00,0,0,500,11.204984899999545,51.83422480000081,0.2111064000018814,0.8832858999994642,68.98400609999953
dVmax,lasso1,3,1.00E+00,1.00E+00,0,0,500,11.99358900000152,46.38036130000182,0.2351435999989917,0.83631719999903,64.08628630000021
