QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,5.440375099999073,25.56580540000141,0.10885699999926146,1.3246501000030548
ADP50,LARS,3,9.53E-01,9.64E-01,0,0,500,2.9262194000039017,28.636283799998637,0.168463599999086,0.6744251999989501
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,1.945261599998048,28.948540699995647,0.07385639999847626,0.7805412000016076
ADP50,ridge1,2,9.72E-01,9.92E-01,0,0,500,2.0973527999958606,30.85788219999813,0.06797229999938281,0.7830893999998807
ADP50,elastic net 1,2,1.73E+03,1.69E+03,0,0,500,1.1040054999975837,31.603546899998037,0.0652330999946571,0.692476499993063
ADP50,lasso1,2,1.73E+03,1.69E+03,0,0,500,1.1447509999998147,29.64884969999548,0.06331539999519009,0.6545264000014868
dVmax,OLS CP,4,3.97E-04,3.21E-04,0,0,500,25.815721599996323,25.815721599996323,0.7806828000029782,0.7806828000029782
dVmax,LARS,3,4.52E+02,4.52E+02,0,0,500,2.4505094999985886,25.1068443999975,0.16106359999685083,0.639334699997562
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,1.8101252999986173,24.04242659999727,0.06584840000141412,0.7691658000039752
dVmax,ridge1,4,3.13E-03,3.25E-03,0,0,500,23.200734099998954,23.200734099998954,0.7747092999998131,0.7747092999998131
dVmax,elastic net 1,2,7.24E+02,7.24E+02,0,0,500,1.1063374000004842,25.383200500000385,0.059831699996721,0.6404795999987982
dVmax,lasso1,2,7.24E+02,7.24E+02,0,0,500,1.0626599000024726,24.992381999996724,0.06161129999964032,0.6384925999955158
Vrest,OLS CP,3,4.26E-06,4.91E-06,0,0,500,4.618690000002971,27.47520980000263,0.18243539999821223,0.7741343000016059
Vrest,LARS,2,1.31E-02,1.38E-02,0,0,500,1.2891884999989998,25.576301000000967,0.063051600001927,0.6392915000033099
Vrest,OLS SKT,3,4.26E-06,4.93E-06,0,0,500,4.742198899999494,25.609955599997193,0.18351819999952568,0.7708703999960562
Vrest,ridge1,2,6.82E+01,7.07E+01,0,0,500,1.7579622000048403,23.459618699998828,0.06449599999905331,0.768654699997569
Vrest,elastic net 1,2,1.70E+07,1.73E+07,0,0,500,1.091095600000699,24.398502500000177,0.06155649999709567,0.6380465999973239
Vrest,lasso1,2,1.70E+07,1.73E+07,0,0,500,1.0872804000027827,24.9922418999995,0.06165820000023814,0.6495962999979383
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,1.7347651000018232,23.255246199994872,0.06521079999947688,0.7693128000028082
ADP90,LARS,3,9.19E-01,9.38E-01,0,0,500,2.8147766000038246,25.915948000001663,0.1673030000019935,0.6464150000028894
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,1.7895800000042072,23.754526999997324,0.0659449999948265,0.7691562999971211
ADP90,ridge1,2,9.39E-01,9.68E-01,0,0,500,1.7117811999996775,23.83544129999791,0.06881979999889154,0.7638685999991139
ADP90,elastic net 1,2,1.89E+03,1.85E+03,0,0,500,1.0754909999959636,25.43214440000156,0.06417810000129975,0.6398189999963506
ADP90,lasso1,2,1.89E+03,1.85E+03,0,0,500,1.1038258999979007,24.604285399997025,0.06226969999988796,0.6356632999959402
