QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
ADP50,OLS CP,2,2.57E-03,2.59E-03,0,0,100,1.5409144000000197,10.154700100000014,0.06960689999999659,0.7821929000000409
ADP50,LARS,2,1.18E+00,1.04E+00,0,0,100,1.289357100000018,4.693923700000028,0.06725000000000136,0.6648572999999942
ADP50,OLS SKT,2,2.57E-03,2.59E-03,0,0,100,0.9422402999999804,10.132132799999965,0.06902479999996558,0.8122810999999501
ADP50,ridge1,2,1.17E+00,1.03E+00,0,0,100,0.9279152999999951,10.12053579999997,0.06800690000000031,0.7723649000000137
ADP50,elastic net 1,2,5.33E+00,5.22E+00,0,0,100,0.5513387999999964,3.149588000000051,0.06604679999998098,0.6656442999999967
ADP50,lasso1,2,5.33E+00,5.22E+00,0,0,100,0.5616455000000542,3.1091143000000443,0.06459630000000516,0.6442946000000234
ADP90,OLS CP,2,2.25E-03,2.97E-03,0,0,100,0.9169089000000099,20.04929869999995,0.06699279999997998,0.7727578999999878
ADP90,LARS,2,1.13E+00,1.02E+00,0,0,100,0.9864749000000188,4.72991380000002,0.07107680000001437,0.6880216000000132
ADP90,OLS SKT,2,2.25E-03,2.97E-03,0,0,100,0.9186614000000191,10.16695900000002,0.07408120000002327,0.7834920000000238
ADP90,ridge1,2,1.12E+00,1.01E+00,0,0,100,1.0023151000000325,12.752780599999994,0.07048859999997603,0.8671760999999947
ADP90,elastic net 1,2,5.37E+00,5.24E+00,0,0,100,0.5626020999999923,3.1329152000000136,0.06578100000001541,0.6788200000000302
ADP90,lasso1,2,5.37E+00,5.24E+00,0,0,100,0.5571559999999636,3.254510400000015,0.06497349999995095,0.6617145999999821
dVmax,OLS CP,2,4.26E-04,6.08E-04,0,0,100,0.9337669999999889,10.05240150000003,0.06789889999998877,0.7663787000000184
dVmax,LARS,4,3.03E-04,3.01E-04,0,0,100,3.8422681000000125,3.8422681000000125,0.6555310000000532,0.6555310000000532
dVmax,OLS SKT,2,4.26E-04,6.08E-04,0,0,100,0.9179604999999924,10.168256499999984,0.0696882999999957,0.7781148999999914
dVmax,ridge1,4,8.98E-04,9.41E-04,0,0,100,10.15599420000001,10.15599420000001,0.7682009999999764,0.7682009999999764
dVmax,elastic net 1,2,4.04E+00,4.06E+00,0,0,100,0.6796079000000077,3.06859750000001,0.06481320000000323,0.6505728000000204
dVmax,lasso1,2,4.17E+00,4.18E+00,0,0,100,0.5466693000000191,3.1090361999999914,0.0636967999999456,0.676100799999972
Vrest,OLS CP,2,1.38E-05,1.61E-05,0,0,100,0.9087094999999863,10.196554399999968,0.0663377000000196,0.7661310999999955
Vrest,LARS,3,1.45E-02,1.03E-02,0,0,100,1.7763813999999911,4.298426699999993,0.17962599999998474,0.6697920000000295
Vrest,OLS SKT,2,1.38E-05,1.61E-05,0,0,100,0.9181378000000109,19.64653420000002,0.06669869999996081,0.7731158999999934
Vrest,ridge1,2,2.10E-02,2.14E-02,0,0,100,0.8995363999999881,10.043992300000014,0.06593490000000202,0.7617788000000019
Vrest,elastic net 1,2,3.54E+00,3.96E+00,0,0,100,0.5314527000000453,2.999898099999996,0.0618246999999883,0.6368694999999889
Vrest,lasso1,2,3.54E+00,3.96E+00,0,0,100,0.533255699999927,2.9834154000000126,0.062441200000080244,0.6412702000000081
