QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
ADP50,OLS CP,2,1.09E-02,2.40E-03,0,0,500,4.446084399998654,27.120118500002718,0.06584619999921415,0.7709062000067206
ADP50,LARS,2,9.44E-01,9.57E-01,0,0,500,2.1595911999975215,28.031675500002166,0.06791470000462141,0.689061799996125
ADP50,OLS SKT,2,1.09E-02,2.40E-03,0,0,500,1.96090600000025,26.770542100006423,0.06538640000508167,0.7974045000009937
ADP50,ridge1,2,9.71E-01,9.85E-01,0,0,500,2.2392222000053152,27.946128799994767,0.06682930000533815,0.7908962000001338
ADP50,elastic net 1,2,7.16E+00,7.03E+00,0,0,500,1.517797700005758,29.274028100000578,0.06372499999997672,0.6548770000008517
ADP50,lasso1,2,7.18E+00,7.04E+00,0,0,500,1.0953088000023854,25.08256160000019,0.0627602000022307,0.6423413000011351
dVmax,OLS CP,4,6.76E-04,3.21E-04,0,0,500,23.515827900002478,23.515827900002478,0.7798907999967923,0.7798907999967923
dVmax,LARS,4,4.31E-04,1.94E-04,0,0,500,23.92422809999698,23.92422809999698,0.650222099997336,0.650222099997336
dVmax,OLS SKT,2,5.52E-04,3.22E-04,0,0,500,1.8061689000023762,23.566132200001448,0.06461949999356875,0.7636344000056852
dVmax,ridge1,4,3.57E-04,2.14E-04,0,0,500,25.099099999999453,25.099099999999453,0.8545349000050919,0.8545349000050919
dVmax,elastic net 1,2,4.11E+00,4.03E+00,0,0,500,1.0880018000025302,24.99697909999668,0.061720099998638034,0.6414642999952775
dVmax,lasso1,2,4.20E+00,4.11E+00,0,0,500,1.0743585999953211,24.636192600002687,0.061288700002478436,0.6410455000004731
Vrest,OLS CP,3,5.98E-04,2.61E-06,0,0,500,4.634124199998041,32.05672929999855,0.19124680000095395,0.7637460000041756
Vrest,LARS,2,1.02E-02,1.01E-02,0,0,500,1.7612926000001607,24.192094999998517,0.06571759999496862,0.6537011999971583
Vrest,OLS SKT,3,5.98E-04,2.63E-06,0,0,500,5.02846110000246,23.67873949999921,0.18360820000089006,0.787986399998772
Vrest,ridge1,2,1.02E-02,1.07E-02,0,0,500,1.7847115999975358,23.577839600002335,0.06418030000349972,0.7648249000048963
Vrest,elastic net 1,2,4.05E+00,3.92E+00,0,0,500,1.0596755000005942,24.88062579999678,0.06187800000043353,0.6406608999968739
Vrest,lasso1,2,4.05E+00,3.92E+00,0,0,500,1.0502370999965933,24.576558099994145,0.06089659999997821,0.6363115000058315
ADP90,OLS CP,2,3.28E-02,2.16E-03,0,0,500,1.7171509999971022,24.30887829999847,0.06870080000226153,0.7590420999986236
ADP90,LARS,2,9.27E-01,9.34E-01,0,0,500,1.8400655000004917,21.896002399997087,0.06500139999843668,0.6540508000034606
ADP90,OLS SKT,2,3.28E-02,2.16E-03,0,0,500,1.8905998000045656,22.908890799997607,0.07013899999583373,0.7696808999971836
ADP90,ridge1,2,9.54E-01,9.61E-01,0,0,500,1.8547079999989364,23.25120749999769,0.06351050000375835,0.7634968999991543
ADP90,elastic net 1,2,7.77E+00,7.62E+00,0,0,500,1.0667666000008467,24.503803600004176,0.06278000000020256,0.6386353999987477
ADP90,lasso1,2,7.95E+00,7.78E+00,0,0,500,1.0600083000026643,24.781339500004833,0.0614214000015636,0.6427148000002489
