Tec,QOI,Method,Ns,X normalized?,Y normalized?,Convergence,Degree,Val. error
Chaos Py,Vrest,OLS CP,200,Yes,No,VERDADEIRO,3,3.72E-06
Chaos Py,Vrest,OLS CP,200,Yes,Yes,VERDADEIRO,3,3.72E-06
Chaos Py,Vrest,OLS SKT,200,Yes,No,VERDADEIRO,3,3.72E-06
Chaos Py,Vrest,OLS SKT,200,No,Yes,VERDADEIRO,3,3.72E-06
Chaos Py,Vrest,OLS SKT,200,No,No,VERDADEIRO,3,3.72E-06
Chaos Py,Vrest,OLS SKT,200,Yes,Yes,VERDADEIRO,3,3.72E-06
Chaos Py,Vrest,OLS CP,200,No,Yes,VERDADEIRO,3,3.74E-06
Chaos Py,Vrest,OLS CP,200,No,No,VERDADEIRO,3,3.74E-06
Chaos Py,dVmax,LARS,200,No,Yes,VERDADEIRO,4,1.99E-04
Chaos Py,dVmax,LARS,200,No,No,VERDADEIRO,4,1.99E-04
Chaos Py,dVmax,OLS CP,200,Yes,No,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,OLS CP,200,No,Yes,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,OLS CP,200,No,No,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,OLS CP,200,Yes,Yes,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,OLS SKT,200,Yes,No,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,OLS SKT,200,No,Yes,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,OLS SKT,200,No,No,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,OLS SKT,200,Yes,Yes,VERDADEIRO,2,3.54E-04
Chaos Py,dVmax,LARS,200,Yes,No,VERDADEIRO,2,1.38E-03
Chaos Py,ADP90,OLS CP,200,Yes,No,VERDADEIRO,2,2.51E-03
Chaos Py,ADP90,OLS CP,200,No,Yes,VERDADEIRO,2,2.51E-03
Chaos Py,ADP90,OLS CP,200,No,No,VERDADEIRO,2,2.51E-03
Chaos Py,ADP90,OLS CP,200,Yes,Yes,VERDADEIRO,2,2.51E-03
Chaos Py,ADP90,OLS SKT,200,Yes,No,VERDADEIRO,2,2.51E-03
Chaos Py,ADP90,OLS SKT,200,No,Yes,VERDADEIRO,2,2.51E-03
Chaos Py,ADP90,OLS SKT,200,No,No,VERDADEIRO,2,2.51E-03
Chaos Py,ADP90,OLS SKT,200,Yes,Yes,VERDADEIRO,2,2.51E-03
Chaos Py,ADP50,OLS CP,200,Yes,No,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,OLS CP,200,No,Yes,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,OLS CP,200,No,No,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,OLS CP,200,Yes,Yes,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,OLS SKT,200,Yes,No,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,OLS SKT,200,No,Yes,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,OLS SKT,200,No,No,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,OLS SKT,200,Yes,Yes,VERDADEIRO,2,2.70E-03
Chaos Py,ADP50,LARS,200,Yes,Yes,VERDADEIRO,2,3.13E-03
Chaos Py,Vrest,LARS,200,No,No,VERDADEIRO,2,9.80E-03
Chaos Py,Vrest,LARS,200,No,Yes,VERDADEIRO,4,1.06E-02
Chaos Py,Vrest,OMP1,200,No,Yes,FALSO,2,1.98E-02
Chaos Py,Vrest,OMP1,200,No,No,FALSO,3,1.98E-02
Chaos Py,Vrest,OMP1,200,Yes,Yes,FALSO,5,5.23E-02
Chaos Py,ADP90,LARS,200,No,Yes,FALSO,2,9.33E-01
Chaos Py,ADP90,LARS,200,No,No,FALSO,2,9.33E-01
Chaos Py,ADP50,LARS,200,No,Yes,FALSO,2,9.72E-01
Chaos Py,ADP50,LARS,200,No,No,FALSO,2,9.72E-01
Chaos Py,dVmax,OMP1,200,Yes,Yes,FALSO,2,1.11E+00
Chaos Py,ADP50,LARS,200,Yes,No,FALSO,2,1.84E+00
Chaos Py,dVmax,OMP1,200,Yes,No,FALSO,2,2.10E+00
Chaos Py,ADP90,OMP1,200,Yes,Yes,FALSO,5,2.12E+00
Chaos Py,ADP90,LARS,200,Yes,Yes,FALSO,2,2.18E+00
Chaos Py,ADP50,OMP1,200,Yes,Yes,FALSO,5,2.24E+00
Chaos Py,ADP90,LARS,200,Yes,No,FALSO,2,2.27E+00
Chaos Py,ADP50,OMP1,200,Yes,No,FALSO,2,3.72E+00
Chaos Py,ADP90,OMP1,200,Yes,No,FALSO,2,3.77E+00
Chaos Py,dVmax,LARS,200,Yes,Yes,FALSO,2,1.22E+01
Chaos Py,Vrest,LARS,200,Yes,Yes,FALSO,2,2.00E+01
Chaos Py,Vrest,LARS,200,Yes,No,FALSO,2,4.42E+01
Chaos Py,ADP50,OMP1,200,No,Yes,FALSO,2,6.02E+01
Chaos Py,ADP50,OMP1,200,No,No,FALSO,2,6.02E+01
Chaos Py,dVmax,OMP1,200,No,Yes,FALSO,2,1.59E+02
Chaos Py,dVmax,OMP1,200,No,No,FALSO,2,1.59E+02
Chaos Py,ADP90,OMP1,200,No,Yes,FALSO,2,5.01E+02
Chaos Py,ADP90,OMP1,200,No,No,FALSO,2,5.01E+02
Chaos Py,Vrest,OMP1,200,Yes,No,FALSO,2,2.50E+04
