Tec,QOI,Method,Ns,X normalized?,Y normalized?,Convergence,Degree,Val. error
Chaos Py,Vrest,OLS CP,10,NO,NO,-,2,1.34E-01
Chaos Py,Vrest,LARS,10,NO,NO,-,2,1.87E-02
Chaos Py,Vrest,OLS SKT,10,NO,NO,-,2,1.34E-01
Chaos Py,Vrest,OMP1,10,NO,NO,-,2,2.30E-01
Chaos Py,ADP50,OLS CP,10,NO,NO,-,2,7.85E+00
Chaos Py,ADP50,LARS,10,NO,NO,-,4,2.27E+00
Chaos Py,ADP50,OLS SKT,10,NO,NO,-,2,7.85E+00
Chaos Py,ADP50,OMP1,10,NO,NO,-,2,3.10E+02
Chaos Py,ADP90,OLS CP,10,NO,NO,-,2,7.84E+00
Chaos Py,ADP90,LARS,10,NO,NO,-,4,2.23E+00
Chaos Py,ADP90,OLS SKT,10,NO,NO,-,2,7.84E+00
Chaos Py,ADP90,OMP1,10,NO,NO,-,2,2.84E+02
Chaos Py,dVmax,OLS CP,10,NO,NO,-,2,9.57E-04
Chaos Py,dVmax,LARS,10,NO,NO,-,5,2.83E-04
Chaos Py,dVmax,OLS SKT,10,NO,NO,-,2,9.57E-04
Chaos Py,dVmax,OMP1,10,NO,NO,-,2,1.94E+02
Chaos Py,Vrest,OLS CP,10,NO,NO,-,2,2.71E+02
Chaos Py,Vrest,LARS,10,NO,NO,-,2,5.28E+02
Chaos Py,Vrest,OLS SKT,10,NO,NO,-,2,2.71E+02
Chaos Py,Vrest,OMP1,10,NO,NO,-,2,2.67E+04
Chaos Py,ADP50,OLS CP,10,NO,NO,-,2,3.17E-02
Chaos Py,ADP50,LARS,10,NO,NO,-,2,3.46E-02
Chaos Py,ADP50,OLS SKT,10,NO,NO,-,2,3.17E-02
Chaos Py,ADP50,OMP1,10,NO,NO,-,2,3.63E+00
Chaos Py,ADP90,OLS CP,10,NO,NO,-,2,3.23E-02
Chaos Py,ADP90,LARS,10,NO,NO,-,2,1.18E-02
Chaos Py,ADP90,OLS SKT,10,NO,NO,-,2,3.23E-02
Chaos Py,ADP90,OMP1,10,NO,NO,-,3,7.48E+00
Chaos Py,dVmax,OLS CP,10,NO,NO,-,2,4.20E-02
Chaos Py,dVmax,LARS,10,NO,NO,-,2,3.13E-02
Chaos Py,dVmax,OLS SKT,10,NO,NO,-,2,4.20E-02
Chaos Py,dVmax,OMP1,10,NO,NO,-,2,2.38E+00
Chaos Py,Vrest,OLS CP,10,NO,NO,-,2,5.77E-03
Chaos Py,Vrest,LARS,10,NO,NO,-,2,1.54E+00
Chaos Py,Vrest,OLS SKT,10,NO,NO,-,2,5.77E-03
Chaos Py,Vrest,OMP1,10,NO,NO,-,5,6.00E-02
Chaos Py,ADP50,OLS CP,10,NO,NO,-,2,1.17E-02
Chaos Py,ADP50,LARS,10,NO,NO,-,2,8.80E-03
Chaos Py,ADP50,OLS SKT,10,NO,NO,-,2,1.17E-02
Chaos Py,ADP50,OMP1,10,NO,NO,-,5,2.58E+00
Chaos Py,ADP90,OLS CP,10,NO,NO,-,2,8.13E-03
Chaos Py,ADP90,LARS,10,NO,NO,-,2,1.34E-02
Chaos Py,ADP90,OLS SKT,10,NO,NO,-,2,8.13E-03
Chaos Py,ADP90,OMP1,10,NO,NO,-,4,2.59E+00
Chaos Py,dVmax,OLS CP,10,NO,NO,-,2,1.15E-02
Chaos Py,dVmax,LARS,10,NO,NO,-,2,8.02E-01
Chaos Py,dVmax,OLS SKT,10,NO,NO,-,2,1.15E-02
Chaos Py,dVmax,OMP1,10,NO,NO,-,2,1.20E+00
Chaos Py,Vrest,OLS CP,10,NO,NO,-,2,8.76E-02
Chaos Py,Vrest,LARS,10,NO,NO,-,4,3.08E-02
Chaos Py,Vrest,OLS SKT,10,NO,NO,-,2,8.76E-02
Chaos Py,Vrest,OMP1,10,NO,NO,-,2,2.30E-01
Chaos Py,ADP50,OLS CP,10,NO,NO,-,2,7.86E+00
Chaos Py,ADP50,LARS,10,NO,NO,-,4,2.27E+00
Chaos Py,Vrest,OLS CP,200,NO,NO,-,3,3.74E-06
Chaos Py,Vrest,LARS,200,NO,NO,-,2,9.80E-03
Chaos Py,Vrest,OLS SKT,200,NO,NO,-,3,3.72E-06
Chaos Py,Vrest,OMP1,200,NO,NO,-,3,1.98E-02
Chaos Py,ADP50,OLS CP,200,NO,NO,-,2,2.70E-03
Chaos Py,ADP50,LARS,200,NO,NO,-,2,9.72E-01
Chaos Py,ADP50,OLS SKT,200,NO,NO,-,2,2.70E-03
Chaos Py,ADP50,OMP1,200,NO,NO,-,2,6.02E+01
Chaos Py,ADP90,OLS CP,200,NO,NO,-,2,2.51E-03
Chaos Py,ADP90,LARS,200,NO,NO,-,2,9.33E-01
Chaos Py,ADP90,OLS SKT,200,NO,NO,-,2,2.51E-03
Chaos Py,ADP90,OMP1,200,NO,NO,-,2,5.01E+02
Chaos Py,dVmax,OLS CP,200,NO,NO,-,2,3.54E-04
Chaos Py,dVmax,LARS,200,NO,NO,-,4,1.99E-04
Chaos Py,dVmax,OLS SKT,200,NO,NO,-,2,3.54E-04
Chaos Py,dVmax,OMP1,200,NO,NO,-,2,1.59E+02
Chaos Py,Vrest,OLS CP,200,NO,NO,-,3,3.72E-06
Chaos Py,Vrest,LARS,200,NO,NO,-,2,4.42E+01
Chaos Py,Vrest,OLS SKT,200,NO,NO,-,3,3.72E-06
Chaos Py,Vrest,OMP1,200,NO,NO,-,2,2.50E+04
Chaos Py,ADP50,OLS CP,200,NO,NO,-,2,2.70E-03
Chaos Py,ADP50,LARS,200,NO,NO,-,2,1.84E+00
Chaos Py,ADP50,OLS SKT,200,NO,NO,-,2,2.70E-03
Chaos Py,ADP50,OMP1,200,NO,NO,-,2,3.72E+00
Chaos Py,ADP90,OLS CP,200,NO,NO,-,2,2.51E-03
Chaos Py,ADP90,LARS,200,NO,NO,-,2,2.27E+00
Chaos Py,ADP90,OLS SKT,200,NO,NO,-,2,2.51E-03
Chaos Py,ADP90,OMP1,200,NO,NO,-,2,3.77E+00
Chaos Py,dVmax,OLS CP,200,NO,NO,-,2,3.54E-04
Chaos Py,dVmax,LARS,200,NO,NO,-,2,1.38E-03
Chaos Py,dVmax,OLS SKT,200,NO,NO,-,2,3.54E-04
Chaos Py,dVmax,OMP1,200,NO,NO,-,2,2.10E+00
Chaos Py,Vrest,OLS CP,500,NO,NO,-,3,2.41E-06
Chaos Py,Vrest,LARS,500,NO,NO,-,2,9.80E-03
Chaos Py,Vrest,OLS SKT,500,NO,NO,-,3,2.41E-06
Chaos Py,Vrest,OMP1,500,NO,NO,-,2,9.83E-03
Chaos Py,ADP50,OLS CP,500,NO,NO,-,2,2.50E-03
Chaos Py,ADP50,LARS,500,NO,NO,-,2,9.38E-01
Chaos Py,ADP50,OLS SKT,500,NO,NO,-,2,2.50E-03
Chaos Py,ADP50,OMP1,500,NO,NO,-,2,1.54E+00
Chaos Py,dVmax,OLS CP,10,NO,NO,-,2,4.20E-02
Chaos Py,dVmax,OLS CP,200,NO,NO,-,2,3.54E-04
Chaos Py,dVmax,LARS,200,NO,NO,-,4,1.99E-04
Chaos Py,dVmax,OLS SKT,200,NO,NO,-,2,3.54E-04
Chaos Py,dVmax,OMP1,200,NO,NO,-,2,1.59E+02
Chaos Py,ADP90,OLS CP,200,NO,NO,-,2,2.51E-03
Chaos Py,ADP90,LARS,200,NO,NO,-,2,9.33E-01
Chaos Py,ADP90,OLS SKT,200,NO,NO,-,2,2.51E-03
Chaos Py,ADP90,OMP1,200,NO,NO,-,2,5.01E+02
Chaos Py,ADP50,OLS CP,200,NO,NO,-,2,2.70E-03
Chaos Py,ADP50,LARS,200,NO,NO,-,2,9.72E-01
Chaos Py,ADP50,OLS SKT,200,NO,NO,-,2,2.70E-03
Chaos Py,ADP50,OMP1,200,NO,NO,-,2,6.02E+01
Chaos Py,Vrest,OLS CP,200,NO,NO,-,3,3.74E-06
Chaos Py,Vrest,LARS,200,NO,NO,-,4,1.06E-02
Chaos Py,Vrest,OLS SKT,200,NO,NO,-,3,3.72E-06
