QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns
AD90,CPLS,2,0.005291112005276555,0.0036763008868442044,0.05414163623693624,0.012532591898403079,56.0
AD50,CPLS,2,0.006851759205713655,0.007231143297723615,0.028156793239902278,0.010407538596620866,56.0
Vrest,CPLS,2,0.0009153280417035659,0.0005170244050353444,0.004108919086031282,0.0007884507951076042,56.0
dVmax,CPLS,2,0.0002686053292237621,2.2594654041136473e-05,0.185226050717618,0.061386083284611405,56.0
AD90,CPLS,3,0.004521149719965558,0.007574190470429286,0.04812765956334142,0.010254173432342275,168.0
AD50,CPLS,3,0.004880585145508376,0.007290190824894803,0.03567170694932298,0.010085970141315207,168.0
Vrest,CPLS,3,0.0007712093619380146,0.0008781830635710916,0.004318318938368537,0.0007953646783330121,168.0
dVmax,CPLS,3,0.000248847948732574,6.608425055692471e-06,0.18475202292087733,0.061221249311098236,168.0
AD90,CPLS,4,0.005960780278600758,0.004909045779013139,0.044131194400171325,0.010283832716072989,420.0
AD50,CPLS,4,0.006273078506146365,0.006286533752720509,0.034817371692828614,0.010350293996032994,420.0
Vrest,CPLS,4,0.0008260213911926304,0.0007540662078543861,0.003944260981831316,0.000774221952198817,420.0
dVmax,CPLS,4,0.00024885323509737727,7.378551159243775e-06,0.1846971018640774,0.06120238739945819,420.0
AD90,CPLS,5,0.005467294360979295,0.005964209736387912,0.043294766251695704,0.010214200484539408,924.0
AD50,CPLS,5,0.005951303278671455,0.005434909222532245,0.03238536043585727,0.010239389347374622,924.0
Vrest,CPLS,5,0.0003035729425354665,0.0002914390608333182,0.0042825211745718406,0.0008012792447077542,924.0
dVmax,CPLS,5,0.00025070924409446144,5.060785085214755e-06,0.18470281217898843,0.061204360152345295,924.0
AD90,CPLS,2,0.003256539410511608,0.0024999641777824827,0.04910918302202838,0.01046991467536649,168.0
AD50,CPLS,2,0.00329243255990646,0.002531214493965666,0.03105144195000198,0.009803614979430839,168.0
Vrest,CPLS,2,0.0004189546298027782,0.0004266292196201147,0.004574977849706063,0.0008506694740104933,168.0
dVmax,CPLS,2,0.0002555734248006443,1.564650551589125e-05,0.18472484895087693,0.061211254374723946,168.0
AD90,CPLS,2,0.0029557668695038425,0.0025740769356396944,0.04166571730747359,0.009836083848726198,420.0
AD50,CPLS,2,0.003120541457916666,0.002903364953496203,0.032663871218680085,0.009827442411317949,420.0
Vrest,CPLS,2,0.0003967740971005106,0.0003914486472808039,0.004539368625052775,0.0008517910587587299,420.0
dVmax,CPLS,2,0.00025556817725797546,1.1983589498796769e-05,0.18467109869402232,0.06119416647823095,420.0
