QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
ADP50,OLS CP,2,3.43E-03,2.40E-03,0,0,500,3.5975184999999996,311.2629629,0.14493569999999778,4.955120700000009
ADP50,LARS,2,9.39E-01,9.57E-01,0,0,500,2.2767466999999897,281.82561139999996,0.08428120000002082,3.559508199999982
ADP50,OMP1,2,1.54E+00,1.62E+00,0,0,500,1.5764573000000155,276.4319240000001,0.06333580000000438,3.560184800000002
ADP50,OLS SKT,2,3.43E-03,2.40E-03,0,0,500,2.118528900000001,281.0657048999999,0.07480620000001181,4.8393317000000025
ADP50,ridge1,2,9.71E-01,9.92E-01,0,0,500,2.1890544999998838,289.345591,0.07765919999997095,4.329726599999958
ADP50,bayesian ridge,2,7.49E-01,7.46E-01,0,0,500,2.1340933000001314,302.4904944000002,0.07067529999994804,4.184309799999937
dVmax,OLS CP,4,5.56E-01,3.21E-04,0,0,500,37.80382400000008,285.4996564000003,0.9307267000003776,4.162760999999591
dVmax,LARS,4,5.56E-01,1.94E-04,0,0,500,21.477185400000053,263.6142519,0.6535323000002791,3.5209764999999607
dVmax,OMP1,2,1.77E+02,1.64E+02,0,0,500,3.738483499999802,258.58888079999997,0.06367239999963203,3.404352900000049
dVmax,OLS SKT,2,5.55E-01,3.22E-04,0,0,500,3.6773063999999067,273.75860109999985,0.06484649999993053,4.091805500000191
dVmax,ridge1,4,6.37E-01,3.25E-03,0,0,500,25.877126599999883,274.6875235000002,0.773013600000013,5.282861099999991
dVmax,bayesian ridge,4,5.55E-01,2.06E-04,0,0,500,28.679493300000104,300.418052,0.7853863000000274,4.0084592000002885
