QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Time,
dVmax,larsE-1,4,0.555662496,0.000194363,0,0,500,52.801973,527.7730622
dVmax,larsE-1,4,0.555662496,0.000194363,0,0,500,21.1229518,293.645016
ADP50,larsE-1,2,0.939224313,0.957224599,0,0,500,10.902483,583.4231149
ADP50,larsE-1,2,0.939224313,0.957224599,0,0,500,3.0403493,316.1415285
dVmax,larsE-2,4,0.55583634,0.000194363,0,0,500,22.6448374,283.2165452
dVmax,larsE-2,4,0.55583634,0.000200354,0,0,500,53.8100093,504.7715929
ADP50,larsE-2,2,0.751632046,0.746134679,0,0,500,11.5471795,576.3605989
ADP50,larsE-2,2,0.751632046,0.957224599,0,0,500,2.8752923,310.7979381
dVmax,larsE-4,4,0.555734449,0.000194363,0,0,500,20.981086,285.3820107
dVmax,larsE-4,4,0.555734449,0.000202681,0,0,500,46.4802317,402.7424584
ADP50,larsE-4,2,0.62299385,0.617936591,0,0,500,10.1370172,463.0848866
ADP50,larsE-4,2,0.62299385,0.957224599,0,0,500,2.8814276,310.3821405
dVmax,larsE-6,4,0.555734449,0.000194363,0,0,500,20.607243,287.6457627
dVmax,larsE-6,4,0.555734449,0.000202681,0,0,500,43.8477616,368.7923885
ADP50,larsE-6,2,0.011861332,0.957224599,0,0,500,2.847198,297.6027108
ADP50,larsE-6,2,0.011861332,13.81457211,0,0,500,9.6923281,451.0473111
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
