QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,TimemaxTimeselected,Timemax
ADP50,elastic net 1,2,3.10E+05,1.23E+06,0,0,5,0.1447361999998975,0.46013370000218856,0.08597259999805829,3.0460794000027818
dVmax,elastic net 1,2,1.44E+02,1.26E+03,0,0,5,0.020593400000507245,0.465445699999691,0.06455890000142972,2.9812725000010687
ADP50,lasso1,2,6.44E+02,1.22E+03,0,0,5,0.020370900001580594,0.4178829999982554,0.06278609999935725,2.913990900000499
dVmax,lasso1,2,6.50E+01,6.49E+01,0,0,5,0.020746300000610063,0.5038693999995303,0.06277960000079474,2.9472234999993816
ADP50,lasso lars1,2,6.45E+02,1.23E+03,0,0,5,0.022366400000464637,0.4500253000005614,0.08704079999733949,3.058738199997606
dVmax,lasso lars1,2,6.50E+01,6.49E+01,0,0,5,0.023445899998478126,0.5484970000034082,0.06549620000077994,3.0447038000020257
ADP50,lars,4,1.76E+00,3.70E-01,0,0,5,0.16941600000063772,0.6065373999990697,0.699191299998347,3.101125900000625
dVmax,lars,5,5.55E-01,1.28E-03,0,0,5,0.4424302000006719,0.4424302000006719,3.019467899997835,3.019467899997835
ADP50,orthogonal matching pursuit1,4,3.21E+03,3.21E+03,0,0,5,0.17335599999933038,0.5754489000028116,0.652096599998913,3.0742214000019885
dVmax,orthogonal matching pursuit1,2,1.55E+02,2.02E+02,0,0,5,0.022581799999898067,0.4650054999983695,0.0652522999989742,3.1660732999989705
