QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns
Vrest,Chaos py default,3,0.000246911,3.10E-06,0,0,500
Vrest,Chaos py default,3,0.000246911,3.10E-06,0,0,500
Vrest,Chaos py default,3,0.000246911,3.10E-06,0,0,500
dVmax,Chaos py default,3,0.000370677,0.000371342,0,0,1000
dVmax,Chaos py default,2,0.00039354,0.000390742,0,0,500
dVmax,Chaos py default,2,0.00039354,0.000390742,0,0,500
ADP90,Chaos py default,2,0.002953295,0.0022734,0,0,500
ADP90,Chaos py default,2,0.002953295,0.0022734,0,0,500
ADP90,Chaos py default,2,0.002907531,0.002344394,0,0,1000
ADP50,Chaos py default,2,0.003234866,0.00249821,0,0,500
ADP50,Chaos py default,2,0.003234866,0.00249821,0,0,500
ADP50,Chaos py default,2,0.003234866,0.00249821,0,0,500
dVmax,lars,4,0.000331878,0.000332755,0,0,500
dVmax,lars,4,0.000331878,0.000332755,0,0,500
dVmax,lars,4,0.000329715,0.000339348,0,0,1000
Vrest,lars,2,0.067750366,0.070731792,0,0,500
Vrest,lars,2,0.067750366,0.070731792,0,0,500
ADP90,lars,2,0.848715497,0.84967757,0,0,1000
ADP90,lars,2,0.904429382,0.930735916,0,0,500
ADP90,lars,2,0.904429382,0.930735916,0,0,500
ADP50,lars,2,0.938115546,0.955277202,0,0,500
ADP50,lars,2,0.938115546,0.955277202,0,0,500
ADP50,lars,2,0.938115546,0.955277202,0,0,500
Vrest,least squares,3,0.000247,3.11E-06,0,0,500
Vrest,least squares,3,0.000247,3.11E-06,0,0,500
dVmax,least squares,3,0.000371377,0.000372086,0,0,1000
dVmax,least squares,2,0.00039354,0.000390742,0,0,500
dVmax,least squares,2,0.00039354,0.000390742,0,0,500
ADP90,least squares,2,0.002953295,0.0022734,0,0,500
ADP90,least squares,2,0.002953295,0.0022734,0,0,500
ADP90,least squares,2,0.002907531,0.002344394,0,0,1000
ADP50,least squares,2,0.003234866,0.00249821,0,0,500
ADP50,least squares,2,0.003234866,0.00249821,0,0,500
dVmax,ridge,4,0.000342438,0.000347531,0,0,1000
dVmax,ridge,4,0.000353096,0.000364343,0,0,500
dVmax,ridge,4,0.000353096,0.000364343,0,0,500
ADP90,ridge,2,0.766602742,0.761445322,0,0,1000
Vrest,ridge,2,0.723098716,0.76557392,0,0,500
Vrest,ridge,2,0.723098716,0.76557392,0,0,500
ADP90,ridge,2,0.811943446,0.831805168,0,0,500
ADP90,ridge,2,0.811943446,0.831805168,0,0,500
ADP50,ridge,2,0.846216237,0.858044677,0,0,500
ADP50,ridge,2,0.846216237,0.858044677,0,0,500
